,xval,Level I,Level II,Level III,Level IV,Level V
0,2.080928785,4.101002136,3.385578401,2.8883917660000002,2.5793218159999998,1.678663635
1,2.164262119,4.137024382,3.410856706,2.897645757,2.582443414,1.6779188569999999
2,2.2475954519999997,4.1696713139999995,3.435276335,2.9068997469999998,2.585565012,1.6771740780000002
3,2.330928785,4.199259199,3.458866455,2.916153738,2.58868661,1.676429299
4,2.414262119,4.2260746739999995,3.4816552439999997,2.925407728,2.5918082080000002,1.67568452
5,2.4975954519999997,4.250377516,3.503669922,2.9346617189999997,2.594929806,1.6749397419999998
6,2.580928785,4.272403161000001,3.524936785,2.9439157089999997,2.598051403,1.6741949630000001
7,2.664262119,4.292364983,3.545481236,2.9531697,2.601173001,1.673450184
8,2.7475954519999997,4.310456366,3.5653278139999998,2.96242369,2.604294599,1.672705405
9,2.830928785,4.32685257,3.5845002260000003,2.971677681,2.607416197,1.6719606269999998
10,2.9142621189999995,4.341712436,3.603021371,2.9809316710000004,2.610537795,1.6712158480000001
11,2.9975954519999997,4.35517992,3.620913373,2.990185662,2.6136593930000003,1.670471069
12,3.080928785,4.367385489,3.638197602,2.999439652,2.6167809909999997,1.66972629
13,3.1642621189999995,4.378447385,3.654894705,3.008693643,2.619902589,1.6689815119999998
14,3.2475954519999997,4.388472773,3.6710246260000003,3.0179476339999995,2.623024187,1.668236733
15,3.330928785,4.397558772,3.68660663,3.027201624,2.626145784,1.6674919540000002
16,3.4142621189999995,4.405793406,3.701659331,3.036455615,2.629267382,1.666747175
17,3.4975954519999997,4.413256448,3.716200707,3.045709605,2.63238898,1.666002397
18,3.580928785,4.420020196,3.7302481289999996,3.0549635960000003,2.6355105780000003,1.665257618
19,3.6642621189999995,4.426150175,3.743818375,3.0642175860000003,2.6386321759999998,1.6645128390000001
20,3.7475954519999997,4.431705769,3.7569276539999996,3.073471577,2.641753774,1.66376806
21,3.830928785,4.4367408,3.769591625,3.0827255669999998,2.644875372,1.663023282
22,3.9142621189999995,4.441304044,3.781825415,3.0919795580000002,2.64799697,1.662278503
23,3.9975954519999997,4.445439708,3.793643636,3.101233548,2.6511185669999997,1.661533724
24,4.080928785,4.449187857,3.805060405,3.1104875389999997,2.654240165,1.660788946
25,4.164262119,4.452584801,3.816089358,3.1197415289999997,2.657361763,1.660044167
26,4.247595452,4.455663448,3.82674367,3.12899552,2.660483361,1.6592993880000002
27,4.330928785,4.4584536230000005,3.837036066,3.13824951,2.663604959,1.658554609
28,4.414262119,4.460982357,3.8469788410000003,3.147503501,2.666726557,1.657809831
29,4.497595452,4.463274146,3.85658387,3.156757491,2.669848155,1.6570650519999999
30,4.580928785,4.465351192,3.865862627,3.166011482,2.6729697530000003,1.6563202730000002
31,4.664262119,4.467233618,3.874826195,3.175265472,2.6760913509999997,1.655575494
32,4.747595452,4.468939658,3.883485279,3.184519463,2.679212948,1.654830716
33,4.830928785,4.470485841,3.8918502239999997,3.193773453,2.682334546,1.6540859369999998
34,4.914262119,4.471887146,3.8999310210000004,3.203027444,2.6854561439999998,1.6533411580000001
35,4.997595452,4.473157147,3.907737322,3.212281434,2.6885777419999997,1.652596379
36,5.080928785,4.474308148,3.9152784510000003,3.221535425,2.69169934,1.651851601
37,5.164262119,4.475351299,3.922563416,3.230789415,2.6948209380000003,1.6511068219999998
38,5.247595452,4.476296705,3.929600919,3.2400434060000003,2.6979425360000002,1.6503620430000001
39,5.330928785,4.477153527,3.936399365,3.2492973960000002,2.7010641339999997,1.649617264
40,5.414262119,4.4779300630000005,3.9429668760000003,3.258551387,2.704185732,1.648872486
41,5.4975954520000005,4.478633838,3.949311295,3.2678053769999997,2.707307329,1.6481277069999998
42,5.580928785,4.479271668,3.955440201,3.277059368,2.7104289269999997,1.647382928
43,5.664262119,4.479849733,3.961360915,3.286313358,2.713550525,1.6466381490000002
44,5.7475954520000005,4.480373632,3.967080508,3.2955673489999997,2.716672123,1.6458933709999999
45,5.830928785,4.480848442,3.9726058139999996,3.3048213389999996,2.7197937210000003,1.645148592
46,5.914262119,4.481278762,3.97794343,3.31407533,2.7229153189999997,1.644403813
47,5.9975954520000005,4.48166876,3.983099733,3.32332932,2.726036917,1.6436590340000001
48,6.080928785,4.482022215,3.9880808830000003,3.332583311,2.729158515,1.6429142559999999
49,6.164262119,4.4823425519999995,3.992892828,3.3418373010000004,2.7322801130000003,1.642169477
50,6.2475954520000005,4.482632872,3.9975413160000004,3.351091292,2.73540171,1.641424698
51,6.330928785,4.482895989,4.0020318999999995,3.360345282,2.738523308,1.640679919
52,6.414262119,4.483134452,4.006369943999999,3.369599273,2.7416449060000003,1.639935141
53,6.4975954520000005,4.483350571,4.01056063,3.3788532630000003,2.7447665039999998,1.639190362
54,6.580928785,4.4835464389999995,4.014608962,3.388107254,2.7478881019999997,1.6384455830000002
55,6.664262119,4.483723953999999,4.018519777,3.397361244,2.7510097,1.637700805
56,6.7475954520000005,4.4838848360000005,4.022297745,3.406615235,2.7541312980000003,1.636956026
57,6.830928785,4.4840306430000005,4.02594738,3.4158692260000003,2.7572528960000002,1.6362112469999999
58,6.914262119,4.484162787,4.029473041,3.4251232160000002,2.7603744939999997,1.6354664680000002
59,6.9975954520000005,4.48428255,4.032878939,3.434377207,2.7634960910000004,1.63472169
60,7.080928785,4.484391091,4.036169142,3.4436311969999998,2.766617689,1.633976911
61,7.164262119,4.484489462,4.039347581,3.452885188,2.7697392869999997,1.6332321319999998
62,7.2475954520000005,4.484578615,4.042418051,3.462139178,2.772860885,1.6324873530000001
63,7.330928785,4.484659413999999,4.045384221,3.4713931689999997,2.775982483,1.631742575
64,7.414262119,4.484732642,4.048249633999999,3.4806471589999997,2.7791040810000003,1.630997796
65,7.4975954520000005,4.484799009,4.051017711,3.48990115,2.7822256789999997,1.6302530169999998
66,7.580928785,4.484859157,4.05369176,3.49915514,2.785347277,1.629508238
67,7.664262119,4.48491367,4.056274974,3.508409131,2.788468874,1.62876346
68,7.7475954520000005,4.4849630739999995,4.058770439,3.5176631210000004,2.7915904719999998,1.628018681
69,7.830928785,4.485007849,4.061181136,3.526917112,2.79471207,1.6272739019999998
70,7.914262119,4.485048429,4.063509944,3.536171102,2.797833668,1.626529123
71,7.9975954520000005,4.485085206,4.065759645,3.545425093,2.8009552660000003,1.625784345
72,8.080928785,4.485118538,4.067932927,3.554679083,2.804076864,1.6250395659999999
73,8.164262119,4.485148746,4.070032384,3.563933074,2.8071984619999997,1.624294787
74,8.247595452,4.4851761230000005,4.072060523999999,3.573187064,2.81032006,1.623550008
75,8.330928785,4.485200935,4.074019771000001,3.582441055,2.813441658,1.62280523
76,8.414262119,4.485223423,4.075912465,3.591695045,2.816563255,1.6220604509999998
77,8.497595452,4.485243803,4.077740866,3.6009490360000003,2.819684853,1.621315672
78,8.580928785,4.485262274,4.079507158,3.610203026,2.8228064510000004,1.620570893
79,8.664262119,4.485279014,4.081213451,3.6194570169999998,2.825928049,1.619826115
80,8.747595452,4.485294185,4.082861783,3.6287110069999997,2.8290496469999997,1.619081336
81,8.830928785,4.485307935,4.084454123,3.637964998,2.832171245,1.618336557
82,8.914262119,4.4853203960000005,4.085992373,3.647218988,2.835292843,1.6175917780000002
83,8.997595452,4.48533169,4.08747837,3.6564729789999997,2.8384144410000003,1.616847
84,9.080928785,4.485341925,4.088913889,3.6657269689999996,2.8415360389999997,1.616102221
85,9.164262119,4.4853512019999995,4.090300646,3.67498096,2.8446576360000004,1.6153574419999999
86,9.247595452,4.485359609,4.091640295,3.68423495,2.847779234,1.614612664
87,9.330928785,4.4853672289999995,4.0929344389999995,3.693488941,2.8509008319999998,1.613867885
88,9.414262119,4.485374134,4.094184621,3.7027429310000004,2.85402243,1.613123106
89,9.497595452,4.485380393,4.095392337,3.711996922,2.857144028,1.6123783269999998
90,9.580928785,4.485386065,4.096559027,3.721250912,2.8602656260000003,1.611633549
91,9.664262119,4.485391205,4.097686087,3.730504903,2.863387224,1.61088877
92,9.747595452,4.485395864,4.098774861,3.7397588930000003,2.8665088219999997,1.610143991
93,9.830928785,4.4854000869999995,4.099826651,3.749012884,2.86963042,1.6093992119999998
94,9.914262119,4.485403913,4.1008427119999995,3.758266874,2.872752017,1.608654434
95,9.997595452,4.485407381,4.10182426,3.767520865,2.875873615,1.607909655
96,10.08092879,4.485410525,4.102772465,3.776774855,2.878995213,1.607164876
97,10.16426212,4.485413373,4.10368846,3.7860288460000002,2.8821168110000004,1.606420097
98,10.24759545,4.485415955,4.10457334,3.795282836,2.885238409,1.6056753190000002
99,10.33092879,4.485418295,4.105428162,3.8045368269999997,2.8883600069999997,1.60493054
100,10.41426212,4.485420415,4.106253946,3.813790818,2.891481605,1.6041857609999999
101,10.49759545,4.485422337,4.10705168,3.823044808,2.894603203,1.603440982
102,10.58092879,4.4854240789999995,4.107822315,3.8322987989999997,2.8977248010000003,1.6026962040000001
103,10.66426212,4.4854256580000005,4.108566773,3.8415527889999996,2.900846398,1.601951425
104,10.74759545,4.485427088,4.109285942,3.85080678,2.9039679960000004,1.6012066459999998
105,10.83092879,4.485428385,4.109980681000001,3.86006077,2.907089594,1.600461867
106,10.91426212,4.48542956,4.1106518219999995,3.869314761,2.910211192,1.599717089
107,10.99759545,4.485430625,4.111300164,3.8785687510000004,2.91333279,1.59897231
108,11.08092879,4.48543159,4.111926483,3.887822742,2.916454388,1.598227531
109,11.16426212,4.485432465,4.112531526000001,3.897076732,2.9195759860000003,1.597482752
110,11.24759545,4.4854332580000005,4.113116017,3.906330723,2.922697584,1.596737974
111,11.33092879,4.485433977,4.113680653,3.9155847130000003,2.925819181,1.595993195
112,11.41426212,4.485434628,4.114226109,3.924838704,2.928940779,1.595248416
113,11.49759545,4.485435218,4.114753037,3.934092694,2.932062377,1.5945036369999999
114,11.58092879,4.485435753,4.115262065,3.943346685,2.935183975,1.593758859
115,11.66426212,4.485436238,4.1157538019999995,3.952600675,2.938305573,1.59301408
116,11.74759545,4.485436677,4.116228836,3.9618546660000002,2.9414271710000004,1.592269301
117,11.83092879,4.485437075,4.116687733,3.971108656,2.944548769,1.5915245219999998
118,11.91426212,4.485437436000001,4.117131042,3.9803626469999998,2.9476703669999997,1.590779744
119,11.99759545,4.485437763,4.117559292,3.9896166369999997,2.950791965,1.590034965
